"conc_r","conc_c","response","synergy_zip","synergy_loewe","synergy_bliss","synergy_hsa","block_id","drug_row","drug_col","conc_r_unit","conc_c_unit"
2.5266667,0.0325,25.244,11.579,11.726,16.749,17.399,2,"5-FU","AZD1775","uM","uM"
3.25,0.0325,27.37,10.379,8.214,13.381,13.901,2,"5-FU","AZD1775","uM","uM"
5.5,0.0325,30.952,7.599,5.91,10.306,10.633,2,"5-FU","AZD1775","uM","uM"
7.75,0.0325,35.61,5.881,4.966,7.779,7.991,2,"5-FU","AZD1775","uM","uM"
10,0.0325,40.425,5.119,4.934,5.739,6.135,2,"5-FU","AZD1775","uM","uM"
0,0.0483333,0.44,-0.344,-0.529,-0.517,-0.522,2,"5-FU","AZD1775","uM","uM"
0.1166667,0.0483333,-0.513,0.466,-1.357,-0.94,-0.938,2,"5-FU","AZD1775","uM","uM"
0.2333333,0.0483333,-0.269,1.637,-1.616,-0.763,-0.737,2,"5-FU","AZD1775","uM","uM"
0.35,0.0483333,2.602,3.844,0.467,1.909,2.006,2,"5-FU","AZD1775","uM","uM"
0.5933333,0.0483333,8.903,7.246,5.935,8.234,8.483,2,"5-FU","AZD1775","uM","uM"
0.8366667,0.0483333,16.918,10.992,12.59,15.953,16.443,2,"5-FU","AZD1775","uM","uM"
1.08,0.0483333,23.625,13.344,16.761,21.393,22.181,2,"5-FU","AZD1775","uM","uM"
1.8033333,0.0483333,26.612,12.873,15.677,21.778,22.843,2,"5-FU","AZD1775","uM","uM"
2.5266667,0.0483333,27.959,10.645,11.844,19.085,20.328,2,"5-FU","AZD1775","uM","uM"
3.25,0.0483333,29.836,7.682,8.196,15.547,16.76,2,"5-FU","AZD1775","uM","uM"
5.5,0.0483333,33.044,4.269,6.118,12.21,13.141,2,"5-FU","AZD1775","uM","uM"
7.75,0.0483333,37.293,1.359,5.483,9.399,9.986,2,"5-FU","AZD1775","uM","uM"
10,0.0483333,41.719,-0.842,5.634,7.095,7.726,2,"5-FU","AZD1775","uM","uM"
0,0.0641667,1.575,-0.418,-0.576,-0.552,-0.556,2,"5-FU","AZD1775","uM","uM"
0.1166667,0.0641667,0.813,0.175,-1.286,-0.738,-0.738,2,"5-FU","AZD1775","uM","uM"
0.2333333,0.0641667,1.226,0.735,-1.611,-0.44,-0.418,2,"5-FU","AZD1775","uM","uM"
0.35,0.0641667,4.176,2.515,0.327,2.329,2.424,2,"5-FU","AZD1775","uM","uM"
0.5933333,0.0641667,10.881,6.691,5.861,8.944,9.204,2,"5-FU","AZD1775","uM","uM"
0.8366667,0.0641667,18.549,10.876,11.824,16.326,16.882,2,"5-FU","AZD1775","uM","uM"
1.08,0.0641667,24.548,12.926,15.046,21.174,22.184,2,"5-FU","AZD1775","uM","uM"
1.8033333,0.0641667,28.266,12.182,14.58,22.217,23.816,2,"5-FU","AZD1775","uM","uM"
2.5266667,0.0641667,30.09,8.803,11.11,20.035,22.203,2,"5-FU","AZD1775","uM","uM"
3.25,0.0641667,31.751,4.141,7.387,16.457,18.916,2,"5-FU","AZD1775","uM","uM"
5.5,0.0641667,34.933,-0.094,6.206,13.169,15.394,2,"5-FU","AZD1775","uM","uM"
7.75,0.0641667,39.102,-4.38,6.304,10.383,11.954,2,"5-FU","AZD1775","uM","uM"
10,0.0641667,43.396,-7.793,6.708,7.997,9.311,2,"5-FU","AZD1775","uM","uM"
0,0.08,5.038,0,0,0,0,2,"5-FU","AZD1775","uM","uM"
0.1166667,0.08,5.033,0.878,-0.237,0.317,0.314,2,"5-FU","AZD1775","uM","uM"
0.2333333,0.08,5.961,1.522,-0.198,1.035,1.047,2,"5-FU","AZD1775","uM","uM"
0.35,0.08,8.421,2.581,1.131,3.308,3.383,2,"5-FU","AZD1775","uM","uM"
0.5933333,0.08,16.524,8.402,8.021,11.287,11.525,2,"5-FU","AZD1775","uM","uM"
0.8366667,0.08,24.139,13.062,13.947,18.706,19.293,2,"5-FU","AZD1775","uM","uM"
1.08,0.08,29.161,14.762,16.401,22.903,24.122,2,"5-FU","AZD1775","uM","uM"
1.8033333,0.08,32.909,13.75,16.235,23.781,26.006,2,"5-FU","AZD1775","uM","uM"
2.5266667,0.08,34.211,9.406,12.576,21.194,24.572,2,"5-FU","AZD1775","uM","uM"
3.25,0.08,34.748,2.915,7.845,16.919,21.279,2,"5-FU","AZD1775","uM","uM"
5.5,0.08,38.051,-1.189,8.415,13.755,18.385,2,"5-FU","AZD1775","uM","uM"
7.75,0.08,42.083,-6.465,9.282,10.997,15.143,2,"5-FU","AZD1775","uM","uM"
10,0.08,46.143,-12,9.355,8.542,11.853,2,"5-FU","AZD1775","uM","uM"
0,0.12,11.858,0.151,0.237,0.123,0.114,2,"5-FU","AZD1775","uM","uM"
0.1166667,0.12,13.11,2.727,1.683,2.117,2.11,2,"5-FU","AZD1775","uM","uM"
0.2333333,0.12,16.036,5.642,3.993,4.994,4.996,2,"5-FU","AZD1775","uM","uM"
0.35,0.12,20.901,9.291,7.949,9.719,9.761,2,"5-FU","AZD1775","uM","uM"
0.5933333,0.12,28.306,14.297,14.207,16.99,17.166,2,"5-FU","AZD1775","uM","uM"
0.8366667,0.12,35.58,18.526,20.051,23.995,24.544,2,"5-FU","AZD1775","uM","uM"
1.08,0.12,40.391,20.154,22.828,27.791,29.165,2,"5-FU","AZD1775","uM","uM"
1.8033333,0.12,42.305,18.627,21.781,27.231,30.015,2,"5-FU","AZD1775","uM","uM"
