cellosaurus_accession,id
CVCL_A533,1086
CVCL_1551,1087
CVCL_1552,1088
CVCL_1553,1089
CVCL_A536,1090
CVCL_1554,1091
CVCL_A543,1092
CVCL_A545,1093
CVCL_A546,1094
CVCL_U994,1095
CVCL_U995,1096
CVCL_U996,1097
CVCL_1555,1098
CVCL_U997,1099
CVCL_U998,1100
CVCL_U999,1101
CVCL_V000,1102
CVCL_V001,1103
CVCL_A555,1104
CVCL_0455,1105
CVCL_A464,1106
CVCL_5160,1107
CVCL_1556,1108
CVCL_6831,1109
CVCL_1558,1110
CVCL_1559,1111
CVCL_1560,1112
CVCL_1561,1113
CVCL_1562,1114
CVCL_1564,1115
CVCL_1565,1116
CVCL_A570,1117
CVCL_1568,1118
CVCL_1569,1119
CVCL_1571,1120
CVCL_1572,1121
CVCL_1573,1122
CVCL_1574,1123
CVCL_1575,1124
CVCL_1576,1125
CVCL_1577,1126
CVCL_9980,1127
CVCL_1579,1128
CVCL_1581,1129
CVCL_1582,1130
CVCL_1583,1131
CVCL_1584,1132
CVCL_1585,1133
CVCL_1586,1134
CVCL_1587,1135
CVCL_1588,1136
CVCL_1590,1137
CVCL_1591,1138
CVCL_1592,1139
CVCL_1593,1140
CVCL_1594,1141
CVCL_1595,1142
CVCL_1596,1143
CVCL_A584,1144
CVCL_1597,1145
CVCL_1598,1146
CVCL_1599,1147
CVCL_1600,1148
CVCL_1602,1149
CVCL_1603,1150
CVCL_3043,1151
CVCL_1604,1152
CVCL_1605,1153
CVCL_1606,1154
CVCL_3755,1155
CVCL_1607,1156
CVCL_1608,1157
CVCL_1609,1158
CVCL_1610,1159
CVCL_3407,1160
CVCL_0034,1161
CVCL_1876,1162
CVCL_1877,1163
CVCL_1611,1164
CVCL_1612,1165
CVCL_3082,1166
CVCL_1613,1167
CVCL_1842,1168
CVCL_1843,1169
CVCL_1614,1170
CVCL_1615,1171
CVCL_1616,1172
CVCL_1617,1173
CVCL_1618,1174
CVCL_1619,1175
CVCL_1844,1176
CVCL_1620,1177
CVCL_8795,1178
CVCL_1878,1179
CVCL_8800,1180
CVCL_1881,1181
CVCL_2149,1182
CVCL_2150,1183
CVCL_3084,1184
CVCL_1622,1185
CVCL_2661,1186
CVCL_0471,1187
CVCL_IW56,1188
CVCL_9815,1189
CVCL_1623,1190
CVCL_1882,1191
CVCL_3075,1192
CVCL_3076,1193
CVCL_1624,1194
CVCL_1625,1195
CVCL_1626,1196
CVCL_EQ73,1197
CVCL_3086,1198
CVCL_3087,1199
CVCL_3088,1200
CVCL_3090,1201
CVCL_2672,1202
CVCL_2673,1203
CVCL_2675,1204
CVCL_3935,1205
CVCL_3936,1206
CVCL_3769,1207
CVCL_0475,1208
CVCL_3116,1209
CVCL_3770,1210
CVCL_3110,1211
CVCL_3111,1212
CVCL_3112,1213
CVCL_3114,1214
CVCL_3117,1215
CVCL_6429,1216
CVCL_1630,1217
CVCL_1631,1218
CVCL_1632,1219
CVCL_3119,1220
CVCL_2676,1221
CVCL_1633,1222
CVCL_1634,1223
CVCL_1635,1224
CVCL_1636,1225
CVCL_1637,1226
CVCL_1638,1227
CVCL_1639,1228
CVCL_1845,1229
CVCL_1846,1230
CVCL_1847,1231
CVCL_1640,1232
CVCL_S982,1233
CVCL_C171,1234
CVCL_C173,1235
CVCL_C184,1236
